Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Subaru Forester, 2013/2022;39.9 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2013;2022;Бензин;Саарал;Лизинггүй;ХУД 15р хороо рапид хороолол;Бүх дугуй 4WD;107000 км.;Дугаар авсан;5
Lexus RX, 2011/2022;75 сая ₮;3.5 л;Автомат;Зөв;Жийп;Хар;2011;2022;Бензин;Цагаан шар;ББСБ лизингтэй;jukow;Бүх дугуй 4WD;80000 км.;Дугаар авсан;5
Toyota Harrier, 2008/2017;28.5 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Хар;2008;2017;Бензин;Хар;Лизинггүй;Улаанбаатар;Бүх дугуй 4WD;190000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2013/2021;29 сая ₮;2.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2013;2021;Бензин;Цагаан шар;Лизинггүй;хан уул;Хойноо RWD;250000 км.;Дугаар авсан;4
Lexus RX, 2009/2020;50 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хар;2009;2020;Хайбрид;Хар;Лизинггүй;СХД;Бүх дугуй 4WD;150000 км.;Дугаар авсан;5
Toyota Aqua, 2015/2023;19.8 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2015;2023;Хайбрид;Хар;Лизинггүй;nan;Урдаа FWD;177000 км.;Дугаар аваагүй;5
Toyota Harrier, 2008/2017;32.8 сая ₮;3.3 л;Автомат;Зөв;Жийп;Хар саарал;2008;2017;Хайбрид;Хар;Лизинггүй;UB, Han-Uul;Бүх дугуй 4WD;140000 км.;Дугаар авсан;4
Nissan Patrol, 2010/2010;85 сая ₮;5.7 л;Автомат;Зөв;Жийп;Шар;2010;2010;Бензин;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;93000 км.;Дугаар авсан;5
Toyota Prius 30, 2013/2020;18.8 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2013;2020;Хайбрид;Саарал;Лизинггүй;bayn gol duureg;Урдаа FWD;195000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2015/2022;31 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2015;2022;Хайбрид;Саарал;ББСБ лизингтэй;уб;Урдаа FWD;198199 км.;Дугаар авсан;5
Toyota Harrier, 2006/2017;27.5 сая ₮;3.3 л;Автомат;Буруу;Жийп;Цагаан;2006;2017;Хайбрид;Шаргал;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;180000 км.;Дугаар авсан;5
Toyota Crown, 2018/2023;63 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2018;2023;Хайбрид;Хар;Банкны лизингтэй;БГД, 3-4р хороолол, Бичил МТ колонкоос хойш 800м;Хойноо RWD;75000 км.;Дугаар аваагүй;4
Toyota Prius 30, 2012/2023;25 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2023;Хайбрид;Хар;ББСБ лизингтэй;25р эмийн сан Gem mall худалдааны төвийн ард 83р байр В1давхарт;Урдаа FWD;170000 км.;Дугаар аваагүй;5
Toyota Crown, 2014/2023;49.5 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2014;2023;Хайбрид;Хар;Банкны лизингтэй;22;Бүх дугуй 4WD;150000 км.;Дугаар аваагүй;5
Toyota Land Cruiser 200, 2019/2020;165 сая ₮;4.0 л;Автомат;Зөв;Жийп;Хар;2019;2020;Бензин;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;62000 км.;Дугаар авсан;5
Toyota Hiace, 1999/2018;13 сая ₮;2.7 л;Автомат;Буруу;Гэр бүлийн;Саарал;1999;2018;Бензин;Саарал;Лизинггүй;СХДүүрэг;Хойноо RWD;10 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2021;27 сая ₮;1.9 л;Автомат;Буруу;Гэр бүлийн;Улаан;2012;2021;Хайбрид;Саарал;Лизинггүй;сүхбаатар дүүрэг;Урдаа FWD;200000 км.;Дугаар авсан;4
